Цена,Марка,Модель,Год выпуска,Поколение,Пробег,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,Обмен,Ссылка
1940000,BMW,X5,2011,E70 рестайлинг (2010—2013), 184500 км,3,Не битый,35i 3.0 AT (306 л.с.),3.0,Бензин,Автомат,Полный,Exclusive,Внедорожник 5-дверный,Чёрный,Левый,Возможен,"https://www.avito.ru/samara/avtomobili/bmw_x5_3.0_at_2011_184_500_km_3610933836
"
11600000,BMW,X6,2021,G06 (2019—2023), 49000 км,2,Не битый,30d 3.0 Steptronic (249 л.с.),3.0,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,интересует,"https://www.avito.ru/tolyatti/avtomobili/bmw_x6_3.0_at_2021_49_000_km_2984679827
"
2960000,BMW,5 серия,2016,F10/F11 рестайлинг (2013—2017), 159000 км,3,Не битый,528i 2.0 xDrive AT (245 л.с.),2.0,Бензин,Автомат,Полный,,Седан,Белый,Левый,Возможен,"https://www.avito.ru/tolyatti/avtomobili/bmw_5_seriya_2.0_at_2016_159_000_km_3467596859
"
2049000,BMW,X6,2009,E71 (2007—2012), 197000 км,4+,Не битый,30d 3.0 AT (235 л.с.),3.0,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,интересует,"https://www.avito.ru/samara/avtomobili/bmw_x6_3.0_at_2009_197_000_km_3536826245
"
1494000,BMW,X1,2013,E84 рестайлинг (2012—2015), 118002 км,3,Не битый,20i 2.0 xDrive AT (184 л.с.),2.0,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,Возможен,"https://www.avito.ru/kazan/avtomobili/bmw_x1_2.0_at_2013_118_002_km_3572113713
"
7190000,BMW,7 серия,2019,G11/G12 рестайлинг (2019—2023), 46000 км,1,Не битый,740d 3.0 xDrive Steptronic (320 л.с.),3.0,Дизель,Автомат,Полный,,Седан,Белый,Левый,,"https://www.avito.ru/samara/avtomobili/bmw_7_seriya_3.0_at_2019_46_000_km_3328070390
"
7890000,BMW,X3,2023,G01 рестайлинг (2021—2023), 1 км,1,Не битый,20i 2.0 xDrive Steptronic (184 л.с.),2.0,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Белый,Левый,,"https://www.avito.ru/samara/avtomobili/bmw_x3_2.0_at_2023_1_km_3299676365
"
2269583,BMW,5 серия,2015,F10/F11 рестайлинг (2013—2017), 120773 км,2,Не битый,520i 2.0 AT (184 л.с.),2.0,Бензин,Автомат,Задний,,Седан,Белый,Левый,Возможен,"https://www.avito.ru/kazan/avtomobili/bmw_5_seriya_2.0_at_2015_120_773_km_3571858732
"
7200000,BMW,X1,2022,U11/U12 (2022—2023), 67 км,1,Не битый,23d 2.0 xDrive AMT (197 л.с.),2.0,Дизель,Робот,Полный,Base,Внедорожник 5-дверный,Чёрный,Левый,,"https://www.avito.ru/samara/avtomobili/bmw_x1_2.0_amt_2022_67_km_2882922678
"
15300000,BMW,X6,2023,G06 рестайлинг (2023—2023), 50 км,1,Не битый,30d 3.0 Steptronic (298 л.с.),3.0,Дизель,Автомат,Полный,M Sport,Внедорожник 5-дверный,Белый,Левый,,"https://www.avito.ru/samara/avtomobili/bmw_x6_3.0_at_2023_50_km_3566342687
"
